Permit ID,Name,Address,Lattitude,Longitude
1434,STAND N SNACK,"1133 15TH ST NW Washington, DC 20005",38.90440268,-77.03446626
1252,10TH ST BAPTIST CHURCH ANNEX,"1001 R ST NW Washington, DC 20009",38.912689,-77.026149
1230,10TH ST BAPTIST CHURCH MAIN KIT,"1000 R ST NW Washington, DC 20009",38.912525,-77.026147
564,12 RESTAURANT (n),"1123 H ST NE Washington, DC 20002",38.90011822,-76.99115024
1191,12TH STREET CARRYOUT (FORMERLY HORACE & DICKEY),"809 12TH ST NE Washington, DC 20002",38.9004806,-76.9900154
1235,14K RESTAURANT & LOUNGE,"1001 14TH ST NW Washington, DC 20037",38.911868,-77.031949
1541,1789 RESTAURANT,"1224 36TH ST NW Washington, DC 20007",38.90613698,-77.07038233
3800,1791 DC,"701 8TH ST NW Washington, DC 20001",38.89858,-77.022829
2145,1800 CAFE,"1800 N ST NW Washington, DC 20036",38.9070878,-77.0426189
4409,18TH AMENDMENT (n),"613 PENNSYLVANIA AVE SE Washington, DC 20003",38.8850077,-76.9979151
6718,1905 (n),"1905 9TH ST NW Washington, DC 20001",38.9159395,-77.0237306
5114,1905 (n),"1905 9TH ST NW Washington, DC 20001",38.9159395,-77.0237306
822,2122 RESTAURANT,"2122 24TH PL NE Washington, DC 20018",38.9198948,-76.9716664
6646,3 PIZANOS,"1815 M ST NW WASHINGTON, DC 20036",38.90591668,-77.04243111
5908,32 BELOW,"703 8TH ST SE WASHINGTON, DC 20003",38.88112646,-76.99507948
1366,4TH ESTEAK GRILL/BLACKIES HOUSE OF BEEF,"1101 17TH ST NW Washington, DC 20036",38.903865,-77.038403
3631,600 REST AT THE WATERGATE,"600 NEW HAMPSHIRE AVE NW Washington, DC 20037",38.8977297,-77.055151
1449,7 - ELEVEN,"1145 U ST NW Washington, DC 20001",38.91708132,-77.0275222
3805,701 RESTAURANT,"701 PENNSYLVANIA AVE NW Washington, DC 20001",38.8942311,-77.0234782
5565,701 RESTAURANT,"701 PENNSYLVANIA AVE NW Washington, DC 20001",38.8942311,-77.0234782
4318,7TH HILL RESTAURANT,"327 7TH ST SE Washington, DC 20003",38.88536143,-76.99643439
6641,876 CAFE,"4221 CONNECTICUT AVE NW B Washington, DC 20008",38.9437623,-77.0630127
2189,90 MINUTE CAFE,"1824 COLUMBIA RD NW Washington, DC 20009",38.9219672,-77.04303912
5809,901 Restaurant & Bar,"901 9TH ST NW WASHINGTON, DC 20001",38.900991,-77.023873
3974,930 CLUB,"815 V ST NW Washington, DC 20001",38.91802937,-77.02363347
6476,A  DELI,"1312 2ND ST NE WASHINGTON, DC 20002",38.90729531,-77.00360684
6764,A BAR,"2500 PENNSYLVANIA AVE NW WASHINGTON, DC 20037",38.9034654,-77.0536656
6994,A BLOOMIN SANDWICH CAFE,"2141 K ST NW Washington, DC 20037",38.90294263,-77.0479975
5340,A LTTLE SOUTH IN YOUR MOUTH BAKERY & EATERY,"1822 BENNING RD NE WASHINGTON, DC 20002",38.89911063,-76.97717587
3640,AARP,"601 E ST NW Washington, DC 20004",38.896212,-77.020063
4408,AATISH ON THE HILL,"609 PENNSYLVANIA AVE SE WASHINGTON, DC 20003",38.8850594,-76.9980339
6132,ABSOLUTE THAI RESTAURANT,"521 G ST NW WASHINGTON, DC 20001",38.898471,-77.0196769
7037,ACACIA,"325 PENNSYLVANIA AVE SE Washington, DC 20003",38.88681971,-77.0016608
5137,ACACIA BISTRO,"4340 CONNECTICUT AVE NW Washington, DC 20008",38.9462253,-77.065201
1207,ACADIANA RESTAURANT,"901 NEW YORK AVE NW Washington, DC 20001",38.904945,-77.0161539
1206,ACADIANA RESTAURANT,"901 NEW YORK AVE NW Washington, DC 20001",38.904945,-77.0161539
6709,ACHE LOUNGE (n),"441 KENNEDY ST NW WASHINGTON, DC 20011",38.95656458,-77.01869133
5311,ACKC,"1529 14th ST NW WASHINGTON, DC 20005",38.910733,-77.031682
5300,ACQUA AL 2,"212 7TH ST SE WASHINGTON, DC 20003",38.8868872,-76.9958987
5852,ACRE 121,"1400 IRVING ST NW Washington, DC 20010",38.9284459,-77.0338031
3019,ACUARIO,"3410 11TH ST NW Washington, DC 20010",38.9321428,-77.0285364
6497,ADAMS MORGAN COFFEE SHOP,"2204 18TH ST NW WASHINGTON, DC 20009",38.9190475,-77.0418277
2540,ADDIS ETHIOPIAN CUISINE (n),"2210 14TH ST NW Washington, DC 20009",38.9195958,-77.0323557
5819,ADU-GENET CAFE,"811 Florida AVE NW WASHINGTON, DC 20001",38.91685758,-77.02312559
2579,AFGAN GRILL,"2309 CALVERT ST NW Washington, DC 20008",38.9237458,-77.0509184
3971,AFL CIO KITCHEN,"815 16TH ST NW Washington, DC 20006",38.89246,-77.036546
6540,AGAINN,"1099 NEW YORK AVE NW WASHINGTON, DC 20001",38.904945,-77.0161539
5845,AGORA RESTAURANT,"1527 17TH ST NW Washington, DC 20036",38.910676,-77.0381716
2808,AGRARIA RESTAURANT,"3000 K ST NW Washington, DC 20007",38.9013034,-77.0597255
1559,AGUA ARDIENTE,"1250 24TH ST NW Washington, DC 20037",38.9064941,-77.05186853
2747,Aguarelle (Watergate Hotel) (001),"2650 VIRGINIA AVE NW Washington, DC 20037",38.8993348,-77.0558193
2084,AIA KITCHEN,"1735 NEW YORK AVE NW Washington, DC 20006",38.89668809,-77.04112436
2522,Aioli Meditalian Gourmet Restaurant,"2153 P ST NW Washington, DC 20036",38.9097989,-77.048341
6115,AKA WHITE HOUSE,"1710 H ST NW Washington, DC 20007",38.9002075,-77.0401763
5626,AL CROSTINO  (N),"1324 U ST NW Washington, DC 20009",38.9167784,-77.0306593
1658,AL CROSTINO  (N),"1324 U ST NW Washington, DC 20009",38.9167784,-77.0306593
6566,AL DENTE RESTAURANT,"3201 NEW MEXICO AVE NW Washington, DC 20016",38.9320581,-77.0843026
2415,AL TIRAMASU,"2014 P ST NW Washington, DC 20036",38.90939973,-77.04556902
3047,ALERO RESTAURANT,"3500 CONNECTICUT AVE NW Washington, DC 20008",38.9357335,-77.0589447
2056,ALERO RESTAURANT,"1724 CONNECTICUT AVE NW Washington, DC 20009",38.91339775,-77.04602046
1624,ALERO RESTAURANT,"1301 U ST NW Washington, DC 20009",38.9171636,-77.0298873
4758,ALERO RESTAURANT & LOUNGE,"3345 14TH ST NW Washington, DC 20010",38.9310291,-77.032597
1515,ALMAZ RESTAURANT,"1212 U ST NW Washington, DC 20009",38.9168033,-77.0285824
6905,AMBASSADOR RESTAURANT,"1907 9TH ST NW Washington, DC 20001",38.9159828,-77.0237335
2277,AMBASSADOR RESTAURANT,"1907 9TH ST NW Washington, DC 20001",38.9159828,-77.0237335
1052,AMERICA,"50 MASSACHUSETTS AVE NE SPC 272 WASHINGTON, DC 20002",38.8971206,-77.0062537
5933,AMERICA EATS TAVERN,"405 8TH ST NW WASHINGTON, DC 20004",38.8952459,-77.022727
4586,AMERICAN CAFE,"499 SOUTH CAPITOL ST SW Washington, DC 20003",38.883325,-77.009173
3573,AMERICAN CITY DINER,"5532 CONNECTICUT AVE NW Washington, DC 20015",38.9641581,-77.07545032
2473,AMERICAN FOREIGN SERVICE CLUB,"2101 E ST NW WASHINGTON, DC 20037",38.8961734,-77.04696588
5408,AMERICAN ICE COMPANY,"917 V ST NW WASHINGTON, DC 20001",38.9183823,-77.0252681
4221,AMERICAN LEGION,"224 D ST SE Washington, DC 20003",38.88535558,-77.00521281
2686,American Medical Assocation,"25 MASSACHUSETTS AVE NW Washington, DC 20001",38.89846789,-77.01036597
3254,AMERICAN UNIVERSITY TENLEY,"4344 MASSACHUSETTS AVE NW Washington, DC 20016",38.93869471,-77.08712744
2978,AMMA VEGETARIAN KITHCEN,"3291 M ST NW Washington, DC 20007",38.9052662,-77.0657495
5249,AMORINI PANINI,"906 F ST NW WASHINGTON, DC 20004",38.89725037,-77.02424298
5719,AN UNCOMMON CAFE,"720 I ST NW WASHINGTON, DC 20001",38.90078774,-77.02221555
525,AN UNCOMMON CAFE,"1 COLUMBUS CIR NE Washington, DC 20002",38.8966648,-77.00424107
4080,AN UNCOMMON CAFE,"101 INDEPENDENCE AVE SE Washington, DC 20557",38.887371,-77.004703
5130,AN UNCOMMON CAFE,"101 INDEPENDENCE AVE SE Washington, DC 20557",38.887371,-77.004703
1764,An Uncommon Cafe @ D.O.C,"1401 CONSTITUTION AVE NW Washington, DC 20032",38.8920154,-76.9854808
4654,ANACOSTIA REST & CATERING,"1918 MARTIN LUTHER KING JR AVE SE Washington, DC 20020",38.8670453,-76.98869
532,ANCHOR MENTAL HEALTH ASSOCIATION,"1001 LAWRENCE ST NE WASHINGTON, DC 20017",38.931397,-76.992376
5136,ANGELICO PIZZA,"2313 WISCONSIN AVE NW Washington, DC 20007",38.92069197,-77.0715137
3322,ANGELICO PIZZERIA,"4529 WISCONSIN AVE NW Washington, DC 20016",38.9487659,-77.0797951
2670,ANGRY INCH,"2450 18TH ST NW Washington, DC 20009",38.9219269,-77.042734
2089,ANNA MARIA,"1737 CONNECTICUT AVE NW Washington, DC 20009",38.91364762,-77.04537994
2664,ANZU RESTAURANT (N),"2436 18TH ST NW Washington, DC 20016",38.9215826,-77.0425316
4760,ARCHIBALD'S/ FAST EDDIE'S BILLIARD CAFE,"1520 K ST NW Washington, DC 20005",38.9025117,-77.0239722
1881,ARCHIBALD'S/ FAST EDDIE'S BILLIARD CAFE,"1520 K ST NW Washington, DC 20005",38.9025117,-77.0239722
6871,ARDEO,"3311 CONNECTICUT AVE NW WASHINGTON, DC 20008",38.93391628,-77.0570912
716,ARGONAUT,"1433 H ST NE Washington, DC 20002",38.9000502,-76.984258
1606,ARIA TRATTORIA RESTAURANT,"1300 PENNSYLVANIA AVE NW WASHINGTON, DC 20004",38.8950082,-77.030206
840,ARMAND'S CHICAGO PIZZERIA,"226 MASSACHUSETTS AVE NE Washington, DC 20003",38.8950838,-77.0025315
3225,ARMAND'S CHICAGO PIZZERIA,"4231 WISCONSIN AVE NW Washington, DC 20016",38.9441399,-77.0772638
4022,ARMY NAVY CLUB,"901 17TH ST NW Washington, DC 20006",38.90147257,-77.03955313
3588,ARNOLD & PORTER CAFETERIA(001),"555 13TH ST NW Washington, DC 20004",38.8969967,-77.0293541
6886,AROMA 'S CHOCOLATE AND GELATO CAFE,"1001 PENNSYLVANIA AVE NW Washington, DC 20036",38.9021775,-77.0494331
2636,AROMA COFFEE SHOP,"2401 PENNSYLVANIA AVE NW Washington, DC 20037",38.9034613,-77.0519066
2309,AROMA INDIAN RESTAURANT,"1919 I ST NW Washington, DC 20006",38.9015458,-77.0444191
6985,AROY THAI CUISINE,"1832 1ST ST NW WASHINGTON, DC 20001",38.915009,-77.01226019
2033,ART GALLERY SANDWICH SHOP,"1712 I ST NW Washington, DC 20006",38.9011363,-77.0400687
6113,ARTHUR TREACHERS,"400 FLORIDA AVE NW Washington, DC 20001",38.91373519,-77.01634391
2422,ARTS CLUB OF WASHINGTON,"2017 P ST NW Washington, DC 20006",38.90972295,-77.04594209
